cohort_month,cohort_period,n_newcomers,conv_primary,conv_secondary
2021-12,pre,35057,0.0983,0.3991
2022-01,pre,37514,0.0991,0.4106
2022-02,pre,36004,0.0982,0.4039
2022-03,pre,39334,0.0937,0.3914
2022-04,pre,37713,0.0912,0.3916
2022-05,pre,38778,0.0966,0.4046
2022-06,pre,37169,0.0959,0.4088
2022-07,pre,36748,0.0966,0.4088
2022-08,pre,37127,0.0932,0.4183
2022-09,pre,34494,0.0877,0.4171
2022-10,pre,36382,0.0873,0.3933
2022-11,pre,38170,0.0796,0.3771
2022-12,post,33994,0.0841,0.3954
2023-01,post,33469,0.0808,0.4056
2023-02,post,29974,0.0786,0.4061
2023-03,post,31140,0.0790,0.4186
2023-04,post,24607,0.0760,0.4023
2023-05,post,23745,0.0748,0.4057
2023-06,post,23475,0.0767,0.4097
2023-07,post,23568,0.0730,0.4128
2023-08,post,22470,0.0742,0.4223
2023-09,post,19843,0.0706,0.4258
2023-10,post,20097,0.0680,0.4200
2023-11,post,19501,0.0672,0.4138
